id,name,category,sector,constituent_gases
building_materials-type_cement,Cement,Building Materials,Materials and Manufacturing,"{'co2e_total': 0.953, 'co2e_other': None, 'co2': 0.933, 'ch4': 0.0005, 'n2o': 2e-05}"
building_materials-type_concrete,Concrete,Building Materials,Materials and Manufacturing,"{'co2e_total': 0.17, 'co2e_other': None, 'co2': 0.166, 'ch4': 0.0001, 'n2o': 0.0}"
building_materials-type_glass,Glass,Building Materials,Materials and Manufacturing,"{'co2e_total': 1.118, 'co2e_other': None, 'co2': 1.059, 'ch4': 0.0018, 'n2o': 2e-05}"
building_materials-type_gravel,Gravel,Building Materials,Materials and Manufacturing,"{'co2e_total': 0.009, 'co2e_other': None, 'co2': 0.009, 'ch4': 0.0, 'n2o': 0.0}"
building_materials-type_gypsum,Gypsum,Building Materials,Materials and Manufacturing,"{'co2e_total': 0.041, 'co2e_other': None, 'co2': 0.039, 'ch4': 0.0, 'n2o': 0.0}"
building_materials-type_quicklime,Quicklime,Building Materials,Materials and Manufacturing,"{'co2e_total': 1.089, 'co2e_other': None, 'co2': 1.067, 'ch4': 0.0006, 'n2o': 1e-05}"
building_materials-type_rock_wool,Rock wool,Building Materials,Materials and Manufacturing,"{'co2e_total': 1.045, 'co2e_other': None, 'co2': 0.927, 'ch4': 0.0038, 'n2o': 2e-05}"
building_materials-type_sand,Sand,Building Materials,Materials and Manufacturing,"{'co2e_total': 0.006, 'co2e_other': None, 'co2': 0.006, 'ch4': 0.0, 'n2o': 0.0}"
building_materials-type_aggregates_closed_loop_source,Aggregates (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 3.1991416, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_aggregates_closed_loop_source,Aggregates (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 3.19471, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_aggregates_open_loop_source,Aggregates (Open-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 3.1991416, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_aggregates_primary_material_production,Aggregates (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 7.7589016, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_aggregates_primary_material_production,Aggregates (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 7.75102, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_aggregates_reused,Aggregates (Re-used),Building Materials,Materials and Manufacturing,"{'co2e_total': 2.21, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
